,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
270,-1,-6,-1,-2,-2,-1,0,-2,-2,0,-3,-1,-1,-2,2,-14,1,0
271,-4,-7,-3,-4,-4,-3,-2,-1,1,-1,-3,-3,0,-3,1,-13,-3,-1
272,-6,-6,-3,-5,-2,-5,-1,-1,0,0,-2,-3,0,-3,-3,-12,-2,-2
273,-5,-7,-5,-7,-5,-4,-3,-2,0,-7,-2,-3,-2,-6,-5,-12,-1,-2
274,-5,-10,-10,-8,-7,-5,-6,0,-2,-6,-2,-5,-3,-6,-6,-10,-5,-4
275,-7,-10,-10,-8,-9,-6,-6,2,-1,-9,-5,-7,-3,-7,-9,-10,-7,-5
276,-5,-8,-11,-9,-9,-7,-6,2,-2,-7,-4,-5,-6,-7,-8,-8,-8,-4
277,-4,-7,-15,-9,-8,-6,-9,5,-3,-9,-4,-4,-8,-9,-12,-4,-8,-4
278,-3,-8,-15,-9,-8,-7,-6,6,-2,-10,-8,-5,-7,-8,-12,-4,-9,-6
279,-3,-8,-14,-10,-6,-9,-7,4,-3,-7,-9,-3,-8,-10,-14,1,-10,-7
280,-2,-6,-12,-5,-6,-7,-10,6,-4,-7,-10,-1,-8,-10,-14,3,-9,-7
281,0,-5,-11,-3,-5,-5,-9,4,-1,-7,-9,0,-7,-8,-13,3,-9,-8
282,2,-2,-8,-3,-2,-6,-6,3,-2,-7,-9,0,-7,-6,-10,6,-10,-7
283,3,2,-6,-2,-1,-5,-5,4,0,-4,-9,1,-4,-4,-9,7,-8,-5
284,6,1,-2,0,0,-1,-4,3,0,-3,-6,0,-3,0,-6,6,-5,0
285,4,3,0,4,1,-1,-1,1,1,-1,-4,4,-3,2,-4,9,-2,-1
286,6,5,-1,5,4,2,5,1,1,2,-1,3,0,3,-3,6,1,2
287,2,7,4,8,7,7,5,2,3,2,1,4,1,7,3,6,4,6
288,1,8,6,8,7,5,5,4,5,5,3,7,2,9,5,5,7,7
289,1,8,7,10,8,8,10,2,6,7,7,6,5,11,7,4,9,8
290,1,9,8,12,9,9,11,1,4,11,9,8,5,12,8,0,12,11
291,1,12,13,13,8,10,12,2,1,11,8,8,7,12,9,-3,11,11
292,0,11,13,13,10,12,12,1,3,13,12,9,10,12,13,-3,12,11
293,-1,11,11,11,8,12,14,2,2,13,12,9,9,12,13,-4,13,9
294,0,13,13,11,11,12,12,1,-1,14,12,10,11,11,15,-5,9,11
295,1,13,15,12,8,13,10,2,-2,13,11,11,11,10,15,-5,10,9
296,0,9,12,9,8,12,14,2,-1,12,11,10,11,10,18,-8,9,9
