,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
114,4,2,6,2,6,6,2,6,5,4,-2,5,7,7,16,5,8,5,4,1,2,1,6,0,17,4,7,5,2,-1,5,15,4,5,6,5,7
115,4,4,6,3,4,8,3,8,8,3,1,4,11,8,14,3,10,3,2,-1,7,6,5,5,13,8,5,11,5,1,6,11,5,5,5,5,4
116,7,6,3,-1,2,11,5,12,10,7,2,1,13,6,10,1,14,3,3,-1,8,9,3,6,10,11,6,12,7,2,3,7,6,5,4,8,2
117,4,7,2,-1,3,15,6,13,13,8,4,1,14,5,9,-1,16,1,2,-6,10,9,2,6,6,13,6,16,9,4,0,2,10,7,2,9,-1
118,4,9,3,-2,-2,17,9,14,12,11,6,3,18,3,6,0,17,-3,-1,-7,12,10,2,8,2,14,3,20,10,9,0,-5,13,5,2,6,-3
119,1,12,0,-2,-3,17,12,16,15,16,7,1,18,3,3,0,18,-1,-1,-6,14,11,2,11,-2,15,1,19,13,12,0,-9,15,4,1,6,-2
120,0,13,1,-3,-2,17,13,17,15,17,12,1,16,-2,2,2,18,-1,0,-6,17,15,1,12,-6,16,1,21,13,16,-1,-11,16,3,-1,4,-1
121,0,16,-2,-3,0,17,15,17,16,17,11,-1,16,-2,1,1,16,0,-1,-3,17,16,-1,13,-9,15,0,22,16,20,-1,-14,17,1,-1,4,-2
122,2,17,-2,-1,-1,17,18,17,13,17,14,0,14,-1,-1,2,17,1,0,-3,18,16,1,13,-14,14,-3,20,18,19,0,-19,14,1,-3,2,-1
123,0,16,-1,-1,-1,15,16,15,13,18,16,3,9,-3,-2,-1,15,1,0,-2,17,16,4,16,-18,16,-2,18,18,22,-1,-22,15,1,-6,3,1
124,0,13,-3,1,0,13,17,16,9,17,15,3,3,-3,-2,3,11,3,2,0,17,12,1,17,-20,15,0,17,16,22,0,-23,15,2,-4,1,2
125,0,11,-2,2,1,11,15,14,6,13,16,7,0,-2,-1,3,6,7,6,3,12,12,3,16,-19,11,1,12,14,20,1,-23,15,1,-1,4,6
126,3,11,2,5,4,10,13,9,3,10,16,10,-3,0,0,6,3,9,7,6,12,9,6,13,-20,11,3,9,11,21,4,-24,10,4,1,7,8
127,9,8,3,8,7,3,9,6,0,9,13,11,-9,2,4,9,-2,10,9,7,8,6,9,11,-19,6,5,6,8,19,5,-21,7,5,5,9,9
128,9,2,5,11,7,-1,5,1,-3,3,12,14,-12,5,6,14,-7,13,13,10,5,2,11,7,-20,1,6,-2,4,15,10,-17,4,7,8,11,11
129,12,-2,8,13,11,-7,2,-3,-9,0,11,17,-16,6,6,16,-12,14,14,15,2,-2,13,4,-18,-3,11,-6,0,13,15,-15,-2,10,11,10,14
130,14,-3,14,14,14,-11,-1,-6,-14,-3,5,16,-19,10,9,16,-17,19,17,16,-2,-5,16,-2,-15,-5,13,-11,-4,9,15,-13,-9,13,13,13,16
131,17,-8,16,16,19,-16,-6,-10,-15,-7,1,19,-19,15,7,21,-18,22,18,18,-6,-9,17,-4,-15,-11,19,-13,-9,4,19,-10,-12,15,13,13,21
132,17,-15,19,16,20,-20,-9,-15,-19,-12,-3,21,-20,18,10,20,-23,21,20,17,-11,-11,17,-10,-11,-15,21,-15,-13,-3,20,-7,-16,18,18,15,21
133,19,-17,21,13,21,-24,-12,-19,-20,-17,-8,20,-19,21,9,22,-23,21,23,19,-16,-14,18,-12,-7,-17,22,-15,-19,-5,22,-6,-17,20,19,19,21
134,21,-19,22,15,21,-26,-16,-21,-20,-19,-11,21,-22,22,8,23,-20,20,24,16,-22,-17,20,-16,-3,-18,22,-15,-21,-9,22,-2,-21,18,22,17,21
135,22,-24,23,17,22,-26,-19,-23,-23,-21,-15,18,-19,25,8,22,-22,20,22,15,-26,-20,19,-18,-2,-20,22,-16,-21,-14,22,0,-22,22,22,18,23
136,22,-24,22,11,18,-25,-19,-25,-21,-23,-19,14,-16,24,7,20,-23,16,18,16,-26,-22,18,-20,0,-20,21,-19,-21,-16,19,1,-24,17,21,16,18
137,18,-22,22,11,18,-24,-17,-25,-19,-25,-21,11,-12,23,4,18,-22,15,14,13,-24,-19,15,-20,3,-19,19,-18,-20,-16,18,1,-24,17,21,17,13
138,16,-22,20,9,14,-21,-21,-21,-15,-23,-22,7,-10,21,-2,12,-17,9,10,11,-24,-20,14,-20,3,-20,15,-17,-19,-18,14,4,-23,15,17,13,11
139,15,-18,17,8,8,-18,-17,-16,-12,-22,-24,3,-6,21,-5,9,-14,5,7,5,-23,-19,9,-19,5,-18,11,-14,-19,-18,10,4,-20,16,16,10,7
