,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
74,24,18,20,20,21,26,21,21,15,26,25,23,23,23,22,22,21,30,17,22,20,26,25,28,27,20,18,23,21,25,18,21,19,20,23,25,22,22,21,28,24,25,28,30,23,19
75,19,23,25,12,25,21,12,26,22,25,22,13,24,21,19,23,12,20,23,25,20,21,25,18,25,23,9,15,24,18,25,11,12,11,26,22,23,22,24,25,19,22,21,26,16,10
76,13,18,18,8,19,13,8,22,21,18,16,6,17,12,11,15,9,10,19,15,16,14,15,10,20,19,7,7,15,8,15,6,11,7,18,10,15,16,18,16,11,12,14,15,9,7
77,12,14,9,11,15,10,8,18,13,15,9,7,14,5,10,7,10,6,11,11,12,10,11,8,13,9,5,9,7,6,8,8,9,8,11,7,11,7,13,14,6,6,14,12,7,8
78,4,10,8,2,6,10,3,15,11,8,11,6,9,5,7,7,4,4,8,8,6,11,4,9,5,5,3,6,7,5,9,4,0,0,10,10,8,5,9,8,9,8,6,9,9,5
79,-13,-1,-4,-13,-4,4,-10,2,4,-9,5,-4,-5,3,2,5,-8,-4,7,6,-11,0,-12,0,-12,-8,-12,-8,9,-2,8,-11,-18,-8,7,4,-8,5,-4,-14,6,3,-16,1,-3,-10
80,-24,-19,-23,-24,-21,-13,-24,-14,-15,-23,-7,-17,-19,-11,-13,-9,-23,-20,-1,-7,-25,-15,-24,-18,-22,-26,-25,-23,-4,-17,-4,-23,-27,-23,-5,-12,-25,-5,-21,-24,-11,-12,-24,-12,-18,-24
81,-16,-22,-24,-22,-24,-24,-29,-20,-25,-15,-18,-28,-17,-26,-25,-24,-25,-29,-16,-23,-23,-24,-21,-27,-21,-22,-27,-27,-19,-25,-20,-26,-20,-26,-21,-24,-22,-19,-23,-19,-22,-25,-16,-23,-24,-23
82,-5,-13,-10,-13,-9,-25,-20,-9,-18,-9,-25,-24,-8,-27,-21,-27,-19,-30,-27,-30,-9,-20,-7,-22,-10,-12,-21,-20,-26,-22,-26,-16,-15,-20,-28,-25,-12,-29,-11,-6,-24,-30,-9,-27,-18,-13
83,-3,-4,-3,-13,-3,-19,-13,-4,-8,-4,-18,-16,-2,-18,-15,-20,-14,-22,-21,-23,-1,-12,-4,-12,-6,-2,-14,-12,-21,-13,-22,-14,-13,-14,-24,-17,-4,-22,-2,-4,-17,-24,-8,-22,-13,-12
84,-1,-3,-3,-12,-2,-13,-14,0,-3,-3,-13,-12,-2,-14,-12,-17,-13,-20,-15,-16,-2,-14,-4,-13,-3,-2,-17,-13,-12,-11,-15,-14,-12,-14,-17,-13,-2,-13,-1,-1,-11,-18,-1,-15,-13,-13
85,12,3,5,1,5,-12,-9,4,1,12,-14,-11,5,-16,-14,-16,-4,-16,-15,-17,8,-10,9,-12,7,8,-6,-7,-15,-13,-13,-5,2,-6,-13,-15,8,-12,7,15,-12,-16,13,-17,-10,-6
86,23,18,22,18,18,-3,10,17,13,21,-7,4,21,-8,-1,-12,13,-8,-12,-8,20,5,21,1,17,23,10,8,-10,1,-10,13,20,13,-12,-3,22,-8,22,21,-2,-7,18,-8,6,12
87,19,24,24,28,24,15,25,24,23,19,10,22,24,12,18,5,25,12,3,6,22,19,22,18,17,24,21,25,4,18,4,27,28,26,5,14,26,8,24,22,16,12,16,13,21,25
88,11,20,15,24,15,28,25,16,21,11,24,29,17,25,25,22,28,23,22,19,12,25,14,26,7,14,25,29,19,29,18,28,26,30,22,28,18,25,17,12,27,24,9,26,27,25
89,6,8,10,21,7,30,25,9,12,5,26,27,10,25,26,26,25,25,26,26,6,26,9,23,2,12,24,26,27,25,30,24,22,27,28,32,10,29,11,7,27,26,6,27,28,26
90,7,8,10,19,6,27,23,4,6,8,23,24,8,25,22,26,21,22,25,23,7,22,10,20,4,13,22,23,24,23,27,22,18,24,25,27,9,30,11,8,23,25,6,24,22,19
91,1,8,8,10,6,23,15,6,9,3,19,19,8,22,18,22,12,19,25,20,5,18,7,16,2,10,16,15,19,19,23,13,6,16,22,26,9,25,8,2,22,21,-1,22,18,9
