,0,1,2,3,4,5,6,7,8,9,10
357,1,-1,-2,-3,-6,-2,0,-3,1,-1,0
358,1,-2,-4,-1,-6,-3,0,-2,2,0,-2
359,0,-1,0,-2,-5,-2,0,-1,0,3,-2
360,-2,-1,0,-1,-4,1,1,0,0,4,2
361,-1,2,-1,2,-2,2,0,2,-1,2,1
362,2,0,3,2,-2,1,1,3,1,3,2
363,2,1,4,1,-2,5,0,2,-2,1,1
364,3,3,2,1,-3,4,-1,2,-3,3,1
365,1,3,0,0,0,1,-1,5,-4,4,0
366,2,2,0,-1,3,1,-2,3,-2,2,2
367,0,-1,3,0,4,1,-2,4,-2,4,0
368,0,3,2,3,7,1,-2,4,-3,2,0
369,1,2,1,3,4,4,-1,4,-2,1,-1
370,1,1,4,1,6,4,0,1,1,1,-1
371,0,2,4,2,6,1,-2,1,2,2,-1
372,-1,3,3,0,5,-1,0,0,0,-1,-3
373,-2,0,2,-1,1,0,0,-1,-3,-4,-5
374,-3,-3,0,0,0,-1,-2,-3,-1,-3,-5
375,-7,-3,-1,0,-2,-1,-3,-4,0,-2,-6
376,-7,-5,-2,-1,1,-3,-3,-4,-2,-2,-7
377,-8,-5,-4,-1,-1,-3,-4,-5,0,-4,-6
378,-7,-4,-2,-2,-2,-3,-3,-7,1,-7,-4
379,-5,-6,-5,-2,-1,-2,-1,-8,1,-5,-4
380,-8,-5,-3,-2,-3,-1,-2,-8,-1,-7,-5
381,-5,-5,-4,-3,-3,-1,-3,-8,1,-6,-5
382,-5,-6,-5,-6,-5,-3,-6,-6,-2,-8,-5
383,-3,-7,-6,-6,-6,-5,-6,-7,-1,-8,-6
384,-3,-6,-8,-7,-4,-4,-5,-7,0,-7,-6
385,-4,-9,-9,-6,-4,-4,-9,-5,1,-4,-5
386,-4,-6,-6,-7,-5,-6,-7,-6,0,-6,-3
387,-3,-7,-4,-6,-4,-6,-5,-4,2,-5,-2
388,-2,-4,-6,-6,-3,-5,-5,-6,2,-3,1
389,-3,-5,-5,-4,-5,-6,-5,-4,1,-4,-2
390,-3,-4,-6,-4,-4,-5,-4,-2,2,-5,-2
391,0,-2,-6,-5,-2,-4,-3,-1,4,0,0
392,-2,-1,-1,-6,0,-5,-4,0,2,1,-2
393,-2,2,-1,-3,0,-1,-2,1,3,2,-2
394,1,1,2,1,2,2,1,1,3,2,2
395,1,3,6,-2,5,3,3,4,1,3,4
396,4,5,6,2,7,3,9,7,2,5,6
397,4,4,7,3,8,4,10,7,0,5,7
398,7,6,10,5,11,8,10,9,0,7,11
399,10,5,12,8,9,7,9,8,1,7,13
