,0,1,2,3,4,5,6,7,8,9,10,11,12,13
288,-9,-13,-7,-11,-4,-3,-4,-6,-7,-7,-7,-5,-10,-11
289,-2,-13,-9,-9,-9,-8,-3,-13,-6,-12,-11,-10,-11,-12
290,1,-8,-11,-5,-9,-10,-2,-14,-2,-11,-6,-10,-6,-7
291,5,-3,-6,1,-7,-7,7,-9,8,-5,-3,-6,-1,-4
292,13,4,1,6,0,1,16,-1,15,3,2,-2,6,1
293,13,4,6,10,6,6,19,4,11,8,9,3,8,7
294,6,6,6,8,11,8,9,10,7,9,9,8,13,8
295,-2,9,10,10,12,13,5,11,2,13,12,12,14,9
296,-6,6,9,8,15,12,-3,12,-4,10,12,14,10,8
297,-9,-1,4,-1,10,9,-9,13,-10,2,3,11,4,2
298,-14,-8,-4,-8,2,1,-11,5,-12,-4,-3,2,-4,-8
299,-9,-8,-9,-7,-6,-9,-11,-3,-9,-7,-10,-6,-10,-9
300,-2,-6,-11,0,-7,-7,-6,-8,-6,-9,-7,-10,-8,-2
301,9,-9,-9,-3,-7,-7,7,-6,6,-4,-6,-5,-3,0
302,16,-2,-9,0,-4,-5,15,-5,15,-1,-5,-3,-3,-1
303,14,4,-7,8,-3,-3,15,-4,14,1,0,-3,2,7
304,12,10,1,15,0,4,13,1,11,8,9,3,14,14
305,9,15,8,15,11,13,11,12,9,17,14,10,17,18
306,6,14,14,7,16,16,9,14,7,19,15,18,16,16
307,-4,8,11,-1,12,12,-2,14,-5,10,9,13,10,7
308,-10,0,3,-5,3,7,-11,6,-12,3,1,8,2,2
309,-9,-5,-3,-13,-3,-2,-10,1,-12,-2,-8,-1,-6,-4
310,-2,-8,-7,-14,-6,-6,-4,-6,-3,-7,-10,-6,-11,-10
311,0,-14,-11,-14,-11,-12,-1,-11,0,-10,-11,-8,-12,-12
312,-3,-7,-12,-7,-13,-14,-3,-14,-1,-10,-11,-13,-8,-8
313,-3,1,-6,5,-6,-7,-3,-14,-2,-1,-4,-7,-2,3
314,6,14,5,13,4,2,-1,-5,3,5,10,2,9,9
315,5,14,13,15,13,12,3,7,2,9,16,10,15,14
316,-2,12,15,13,17,13,-1,15,-2,14,14,13,14,11
317,-4,10,16,11,19,12,-4,12,-5,11,13,10,10,8
318,-2,8,12,6,12,10,-3,10,-4,8,11,11,7,7
319,3,3,9,0,7,6,3,10,0,4,7,7,4,0
320,5,-6,0,-8,3,0,6,5,4,-3,0,1,-3,-9
321,1,-10,-8,-6,-3,-9,2,-6,4,-12,-7,-6,-10,-13
322,1,-10,-11,-1,-12,-10,2,-14,1,-14,-7,-13,-10,-11
323,2,-2,-8,-1,-9,-7,5,-12,4,-4,-4,-11,-3,-7
324,0,0,-1,-3,-4,0,6,-5,2,0,0,-6,0,-4
325,-5,-3,-2,1,-1,1,0,-2,-4,-3,1,-4,-3,-3
326,-9,-1,-4,3,-4,-1,-8,-2,-10,-3,-2,-6,1,-1
327,-13,5,2,7,-2,1,-9,-3,-10,4,3,-3,2,2
328,-7,4,5,2,5,7,-6,4,-6,7,5,1,3,4
329,2,1,5,-3,2,5,-1,7,-5,0,-3,1,-4,-1
330,7,-2,-3,-1,-3,0,5,0,4,-1,-5,-6,-6,-3
331,10,1,-4,5,-5,-4,9,-5,9,-1,-3,-5,-4,1
332,14,6,1,11,1,2,12,1,10,4,3,0,2,6
333,19,6,5,6,7,5,18,8,15,9,4,7,2,7
334,20,4,6,2,7,4,23,10,20,7,1,5,-1,4
335,11,4,4,5,4,3,17,6,17,5,1,4,-1,4
336,0,6,4,2,4,3,3,5,4,3,4,5,2,5
337,-10,4,5,-2,7,5,-6,7,-6,3,4,5,-1,4
338,-13,-2,2,-9,2,1,-8,4,-7,-3,-2,2,-6,-3
339,-15,-5,-3,-9,-4,-5,-12,-7,-12,-11,-9,-5,-9,-10
340,-24,-10,-10,-9,-8,-12,-18,-11,-19,-12,-8,-9,-11,-9
341,-28,-7,-9,-3,-9,-12,-24,-12,-20,-9,-9,-8,-8,-5
342,-19,2,-4,4,-4,-8,-17,-10,-17,-2,-4,-4,-4,2
343,-12,6,1,8,1,0,-13,-3,-9,2,3,3,5,6
344,-7,9,6,11,4,5,-7,2,-6,7,5,5,11,11
345,-3,13,9,17,9,9,0,6,-3,13,10,9,13,15
346,4,21,18,22,15,16,4,9,1,16,15,14,20,17
347,16,19,22,14,23,21,11,19,5,19,19,20,21,21
348,22,7,20,1,19,16,18,19,15,12,13,18,13,12
349,19,-6,9,-7,10,8,22,12,16,2,0,8,-3,-2
350,13,-11,-3,-8,0,-4,11,-1,7,-7,-5,-3,-10,-8
351,5,-13,-9,-13,-6,-11,5,-7,1,-12,-9,-12,-7,-13
352,-2,-16,-12,-21,-6,-9,2,-10,-4,-12,-13,-12,-13,-17
353,-7,-22,-16,-24,-12,-13,-5,-13,-8,-20,-18,-17,-19,-23
354,-12,-23,-20,-20,-17,-19,-11,-20,-16,-22,-23,-22,-22,-23
355,-18,-18,-21,-15,-20,-23,-17,-20,-21,-17,-18,-22,-15,-18
356,-13,-8,-11,-6,-13,-14,-12,-13,-15,-8,-13,-18,-8,-11
357,-4,-3,-4,-4,-6,-7,-4,-6,-9,-2,-5,-9,-3,-5
358,2,-2,-4,3,-2,-4,1,-1,1,0,-1,-4,3,0
359,0,7,2,12,1,2,4,1,2,4,3,-5,6,4
360,1,16,10,17,7,7,3,5,5,14,12,1,16,15
361,4,22,21,20,16,16,4,15,4,21,20,13,24,22
362,3,17,20,12,21,22,5,24,5,21,17,16,20,20
363,0,9,14,5,16,18,4,21,6,11,7,11,10,12
364,-6,5,7,4,10,11,-2,9,-1,2,3,3,4,6
365,-4,0,3,-1,1,6,-7,6,-4,-1,0,1,0,3
366,-1,-7,-1,-8,-3,1,-3,3,-2,-4,-7,-2,-6,-6
367,1,-16,-12,-15,-9,-7,1,-6,1,-12,-13,-9,-17,-12
368,4,-16,-15,-10,-16,-15,0,-12,2,-17,-16,-13,-19,-15
369,4,-7,-16,-1,-18,-17,3,-14,6,-10,-12,-14,-14,-9
370,11,2,-9,4,-10,-9,8,-12,7,-2,0,-7,-4,-1
371,11,7,1,7,-1,0,9,-2,9,5,5,1,-2,4
372,11,4,4,3,5,3,10,2,9,7,6,8,1,6
373,6,4,4,5,3,1,6,4,6,7,3,5,-1,4
374,1,7,4,8,3,5,2,2,4,7,6,5,3,5
375,1,6,8,2,7,6,-1,6,0,7,4,9,7,7
376,-4,1,5,-3,4,6,-5,8,-4,1,0,8,2,-1
377,-8,-2,0,-7,-2,1,-9,2,-9,0,-3,2,-2,-6
378,-9,-1,-2,-5,-3,-6,-11,-2,-8,-7,-5,-4,-4,-6
379,-5,-2,-2,1,-4,-4,-7,-4,-7,-4,-2,-3,1,-1
380,0,-1,0,0,-3,-1,-4,-1,-2,0,-1,-4,5,0
381,0,0,0,3,0,2,-2,1,-1,3,2,-3,4,3
