,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
132,-23,-26,-34,-26,-32,-30,-9,-24,-28,-30,-25,-29,-30,-30,-29,-40,-29,-28,-28,-5,2,-35,-29,-31,-28,-31,-30,-29
133,-26,-31,-30,-26,-31,-28,-10,-28,-29,-28,-27,-31,-31,-33,-31,-36,-32,-30,-30,-5,0,-38,-30,-33,-25,-29,-33,-30
134,-28,-30,-22,-23,-34,-27,-9,-31,-28,-24,-30,-31,-29,-34,-31,-30,-32,-32,-32,-4,-3,-37,-32,-33,-19,-24,-32,-31
135,-26,-26,-16,-21,-28,-24,-8,-32,-25,-22,-33,-30,-25,-30,-30,-25,-28,-30,-31,-4,-4,-33,-31,-33,-15,-18,-29,-29
136,-22,-20,-8,-16,-21,-19,-7,-28,-22,-16,-29,-27,-25,-28,-26,-18,-25,-27,-29,-4,-4,-29,-29,-30,-10,-15,-24,-25
137,-21,-16,-3,-12,-15,-15,-6,-27,-20,-9,-26,-24,-19,-24,-23,-7,-19,-23,-23,-1,-3,-20,-24,-23,-4,-8,-24,-23
138,-17,-14,8,-7,-6,-13,-4,-23,-14,-4,-23,-18,-13,-18,-21,4,-14,-20,-18,2,-5,-12,-19,-20,0,-1,-19,-18
139,-10,-8,16,-4,3,-5,2,-17,-10,4,-21,-13,-7,-13,-15,12,-8,-14,-11,0,-7,-4,-15,-10,7,7,-12,-13
140,-7,-2,24,2,12,3,1,-11,-4,9,-15,-5,0,-10,-8,20,-3,-7,-4,1,-7,4,-8,-6,14,13,-6,-6
141,0,5,29,10,19,8,3,-6,3,14,-6,1,7,-2,-1,27,4,-1,1,5,-6,12,1,1,20,20,0,2
142,5,10,34,17,26,12,5,4,10,21,-1,7,14,4,5,33,11,6,7,6,-6,21,4,7,25,26,8,8
143,12,17,37,20,34,16,8,7,14,26,4,13,18,13,10,38,15,12,13,6,-6,29,11,13,28,29,15,13
144,17,20,41,23,37,22,7,14,18,27,11,17,23,17,16,41,21,21,19,7,-6,36,17,19,30,30,20,19
145,23,24,41,26,37,24,8,21,22,30,17,25,27,23,20,42,26,24,22,8,-7,41,20,22,30,30,24,22
146,24,24,38,24,39,26,12,24,25,31,22,26,30,26,23,41,26,31,27,8,-6,40,24,26,28,29,28,26
147,28,25,33,26,38,28,12,29,28,27,26,29,28,29,27,36,28,31,27,6,-2,41,28,28,27,28,32,28
148,28,27,26,26,34,26,12,31,30,27,30,32,30,33,28,32,26,33,28,8,-2,39,31,29,24,23,33,31
149,28,25,22,23,29,23,14,28,28,22,32,31,28,30,29,24,24,33,29,8,0,37,30,27,19,17,32,28
150,25,22,13,19,23,23,17,28,25,17,30,29,25,30,27,15,25,30,26,9,2,30,30,26,14,14,31,25
151,23,20,5,15,17,17,15,26,23,13,29,23,20,24,24,10,21,26,23,8,2,24,25,22,7,10,26,24
152,20,16,-3,10,9,14,11,21,19,7,26,19,16,20,21,1,20,23,19,4,1,15,21,15,3,5,19,20
153,17,13,-10,5,1,10,11,18,15,0,24,15,10,18,18,-9,14,20,12,3,3,8,15,12,0,-1,16,16
154,11,7,-15,-1,-7,5,11,13,10,-3,18,10,6,13,12,-16,7,12,7,-2,3,-2,13,10,-6,-8,9,13
155,5,2,-22,-6,-16,0,9,6,3,-8,14,3,2,5,7,-22,0,8,4,-5,3,-12,9,3,-13,-11,1,6
156,1,-2,-24,-10,-20,-3,8,2,-5,-11,6,-1,-2,0,3,-25,-5,0,0,-5,4,-18,3,-2,-17,-17,-3,1
