,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
98,5,-38,-39,-41,-49,-36,-41,-43,-46,-42,-44,-46,-43,-49,-39,-37,-41,-39,5,-41,-44,-14,-39,8,-49,-39,-40,-16,-43,-46,-45,-39,-34,-41,-34,-46,-41,-40,-32,-47,-41,-41
99,2,-39,-46,-37,-53,-28,-44,-41,-50,-47,-45,-49,-40,-53,-43,-43,-45,-46,2,-45,-40,-8,-33,7,-50,-47,-34,-9,-48,-48,-50,-35,-44,-48,-40,-43,-37,-42,-38,-51,-42,-42
100,1,-31,-50,-29,-56,-18,-47,-41,-50,-50,-39,-52,-36,-51,-50,-45,-52,-46,2,-51,-35,-5,-24,4,-50,-50,-23,-10,-51,-53,-51,-29,-49,-51,-45,-42,-32,-35,-46,-52,-40,-47
101,-5,-23,-53,-21,-48,-4,-51,-34,-50,-53,-35,-52,-27,-49,-51,-49,-50,-47,-1,-52,-31,-5,-14,-1,-45,-52,-14,-6,-51,-51,-51,-20,-49,-52,-50,-32,-19,-34,-50,-52,-30,-51
102,-7,-12,-51,-9,-43,8,-48,-26,-43,-51,-28,-45,-16,-44,-49,-52,-48,-47,-4,-51,-19,0,-1,-1,-37,-51,-2,-1,-46,-44,-47,-10,-51,-46,-49,-28,-12,-25,-49,-45,-22,-50
103,-9,0,-43,3,-34,14,-41,-15,-37,-46,-19,-41,-6,-33,-44,-47,-42,-44,-6,-47,-7,7,10,-7,-30,-47,5,3,-38,-34,-39,0,-46,-42,-46,-19,-1,-14,-47,-37,-11,-46
104,-11,12,-37,12,-21,24,-35,-5,-29,-38,-8,-34,7,-23,-35,-41,-37,-36,-10,-43,3,11,22,-7,-19,-39,15,11,-29,-26,-33,11,-39,-36,-39,-7,11,-5,-42,-32,-2,-40
105,-14,25,-29,21,-10,34,-27,5,-17,-28,2,-24,17,-13,-29,-34,-24,-29,-13,-33,15,11,28,-8,-8,-30,27,15,-22,-17,-21,23,-29,-21,-34,5,20,5,-35,-23,9,-36
106,-13,31,-18,26,2,40,-17,17,-5,-18,12,-11,22,2,-20,-25,-14,-18,-15,-26,23,13,36,-12,7,-25,35,16,-8,-4,-11,31,-23,-12,-28,16,28,14,-26,-8,17,-25
107,-8,40,-3,37,10,43,-1,23,9,-7,23,1,33,12,-8,-13,-6,-6,-14,-14,32,19,41,-12,17,-12,44,19,1,7,0,36,-11,0,-15,24,35,25,-17,1,28,-12
108,-9,45,8,41,20,45,7,35,17,5,30,11,41,21,4,0,7,6,-13,-1,39,19,49,-13,24,0,45,22,10,20,11,44,1,10,-5,33,41,30,-5,13,35,-2
109,-5,48,17,45,30,47,17,43,25,18,38,23,43,29,17,11,17,15,-12,10,42,19,49,-11,35,10,47,20,22,29,21,47,12,19,8,43,47,35,8,25,44,11
110,-5,48,26,48,37,48,28,45,34,24,44,32,46,36,23,21,27,24,-8,19,45,17,51,-11,39,18,48,19,33,36,31,47,22,29,17,46,45,43,17,34,45,21
111,-3,47,35,43,43,44,37,48,42,32,48,40,47,45,33,28,36,38,-6,30,48,16,50,-8,45,27,48,19,39,45,37,47,30,36,25,50,48,45,23,41,48,29
112,0,44,43,45,46,39,41,48,48,41,48,45,48,48,41,37,41,41,-2,40,49,13,45,-5,47,38,47,14,45,46,45,45,39,45,36,50,47,47,35,47,47,36
113,2,41,45,43,51,33,46,48,46,44,48,47,44,49,44,42,47,45,1,43,48,7,38,-5,47,42,42,9,50,49,51,43,47,48,41,48,42,45,40,49,46,44
114,3,37,49,35,47,24,51,43,51,47,47,50,39,51,48,47,48,47,2,47,42,4,33,-2,47,46,34,4,50,53,50,33,46,49,47,48,36,43,43,49,40,47
115,5,30,49,28,47,14,49,39,52,49,39,48,32,49,51,49,50,50,2,48,33,-3,24,3,44,48,25,-4,48,49,49,27,48,50,48,42,29,37,46,50,35,49
116,10,22,47,17,41,5,49,33,45,47,35,46,23,46,49,45,47,47,4,48,26,-6,12,5,39,49,16,-6,44,42,47,21,49,49,47,37,22,32,51,50,29,46
