,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
258,12,7,2,1,12,14,13,4,8,13,3,12,-1,5,15,10,15,13
259,12,9,3,2,12,13,14,2,9,14,6,14,3,8,16,13,15,13
260,12,15,5,5,14,11,14,6,9,15,7,15,6,10,17,14,13,14
261,14,16,5,7,16,15,15,7,13,15,11,15,8,12,15,16,15,16
262,15,18,11,9,17,17,18,9,20,16,13,17,9,16,17,18,13,17
263,19,20,14,12,17,16,17,11,19,17,19,18,13,18,14,19,16,17
264,19,20,16,16,16,14,17,13,18,21,19,19,14,23,13,17,15,17
265,20,18,17,19,18,16,17,13,21,18,20,20,16,24,13,17,15,18
266,19,21,18,21,18,18,16,14,22,19,20,20,19,23,12,19,14,18
267,20,17,21,22,17,16,17,15,21,17,20,18,21,22,12,17,15,17
268,16,16,19,23,18,14,18,13,20,17,21,18,19,21,12,15,13,16
269,18,13,16,21,16,12,15,13,19,14,19,17,19,21,12,11,14,14
270,17,14,16,20,15,10,13,12,16,13,17,15,22,18,10,11,11,10
271,13,11,17,18,15,5,12,14,14,13,17,11,18,16,11,8,10,8
272,10,10,14,19,11,4,9,13,15,9,13,6,17,16,10,6,9,6
273,11,8,11,17,10,4,6,12,12,8,12,5,14,11,8,6,8,4
274,9,4,10,18,8,1,5,10,11,5,10,4,13,10,6,4,8,0
275,6,1,7,14,5,-1,1,9,7,2,10,0,12,5,6,-2,3,-3
276,1,2,7,12,2,-4,0,9,2,0,6,-7,8,3,2,-3,-1,-5
277,0,-4,8,8,0,-7,-4,7,-1,-3,1,-7,6,-3,0,-7,-4,-7
278,-5,-4,9,4,-3,-7,-5,6,-5,-3,-2,-8,3,-5,-3,-9,-7,-11
279,-8,-6,8,1,-4,-12,-9,7,-7,-7,-5,-12,0,-7,-6,-9,-6,-11
280,-11,-11,5,-3,-6,-11,-13,7,-10,-10,-9,-14,-3,-9,-6,-13,-8,-12
281,-10,-12,7,-6,-8,-12,-15,8,-14,-11,-12,-17,-7,-13,-10,-14,-11,-16
282,-13,-14,4,-9,-11,-12,-17,7,-15,-16,-12,-17,-6,-16,-10,-17,-13,-16
283,-14,-15,3,-12,-14,-15,-17,2,-16,-16,-14,-19,-9,-15,-12,-18,-16,-18
284,-17,-17,-1,-12,-16,-14,-17,2,-18,-16,-14,-17,-12,-19,-14,-18,-16,-18
285,-18,-18,-3,-14,-17,-15,-16,-3,-20,-18,-17,-17,-15,-21,-16,-18,-16,-19
286,-17,-20,-3,-16,-15,-14,-18,-2,-22,-17,-18,-18,-18,-19,-16,-19,-17,-15
287,-18,-20,-2,-21,-17,-16,-18,-4,-23,-16,-18,-17,-18,-18,-18,-20,-17,-14
