,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
175,19,22,20,17,20,23,19,24,15,21,20,20,22,20,20
176,18,19,15,13,18,19,16,21,13,19,17,18,21,18,16
177,16,13,12,12,18,15,14,15,9,16,13,15,18,16,15
178,13,8,11,9,13,13,11,13,7,13,11,16,16,14,14
179,9,10,10,7,11,10,9,11,7,14,11,12,14,13,9
180,5,6,6,2,8,8,4,8,6,9,7,8,9,11,5
181,1,1,2,-4,6,4,-1,3,4,6,0,5,3,10,1
182,-1,-1,0,-5,3,1,-3,0,1,-1,-3,-1,0,4,-1
183,-2,-5,-1,-6,2,-1,-4,-1,0,-3,-2,-3,-6,4,-3
184,-4,-5,-3,-6,-1,-4,-4,-3,-2,-4,-2,-2,-6,2,-4
185,-5,-8,-6,-10,-2,-4,-9,-5,-1,-3,-6,-5,-6,-3,-8
186,-8,-9,-7,-11,-4,-6,-12,-8,-3,-3,-6,-10,-9,-6,-11
187,-8,-11,-8,-9,-5,-10,-13,-10,-5,-9,-11,-12,-12,-9,-9
188,-5,-9,-6,-6,-7,-10,-13,-7,-4,-11,-9,-11,-12,-9,-8
189,-7,-9,-5,-8,-6,-9,-12,-6,-3,-7,-7,-9,-10,-10,-8
190,-6,-8,-9,-8,-6,-7,-10,-5,-3,-7,-5,-9,-8,-10,-8
191,-7,-6,-9,-5,-5,-9,-10,-7,-4,-7,-7,-8,-5,-10,-8
192,-7,-7,-7,-6,-6,-9,-9,-6,-5,-6,-6,-7,-7,-10,-8
193,-5,-5,-9,-5,-6,-8,-5,-7,-5,-5,-7,-8,-5,-8,-6
194,-5,-6,-8,-5,-3,-8,-5,-4,-1,-8,-5,-8,-5,-7,-4
195,-4,-1,-6,-3,-5,-5,-4,-4,-4,-4,-5,-8,-4,-6,-2
196,-1,0,-4,-1,-5,-4,-1,-4,0,-3,-3,-2,-2,-5,-1
197,-3,1,-3,-2,-3,-3,0,-4,-1,-5,-2,-3,-3,-6,-2
198,0,0,-1,-2,-1,-4,-1,-4,-1,-4,-2,-4,-2,-5,-1
199,3,-1,1,2,-2,-4,2,-1,2,-4,-1,-1,-3,-2,-2
200,2,2,4,1,-3,0,6,0,0,-2,0,2,-1,-1,4
201,3,4,5,3,-2,2,3,1,3,2,3,4,0,-2,6
202,3,5,5,4,2,2,4,3,2,3,2,1,2,3,7
203,5,4,5,5,2,4,8,7,4,3,4,2,4,4,8
204,3,6,7,6,2,7,8,6,6,5,7,6,5,4,9
205,2,7,5,10,3,9,8,8,4,7,8,4,5,6,9
206,7,9,7,10,5,10,8,9,6,10,8,6,5,7,11
207,8,7,6,12,8,10,7,10,8,9,10,7,8,8,10
208,5,9,7,7,10,10,6,10,9,11,10,8,9,8,10
209,6,8,7,10,8,8,5,11,5,11,8,10,7,7,10
210,8,6,8,10,10,8,9,12,7,11,6,11,7,7,13
211,11,7,10,10,8,12,11,13,9,12,7,12,9,10,15
212,9,10,9,9,13,13,8,11,8,10,11,10,11,10,13
213,8,9,4,7,11,8,7,9,7,8,7,7,9,9,10
214,6,7,3,2,8,5,6,7,4,9,7,9,5,6,9
215,6,5,6,2,3,5,3,4,5,5,4,8,5,5,8
216,2,3,4,1,4,4,4,2,2,8,5,4,5,5,5
217,-1,2,-3,-5,5,0,1,2,0,5,2,0,1,4,0
218,-3,2,-5,-9,1,-2,-2,-1,-3,2,-2,-4,-3,0,-5
219,-5,-1,-8,-9,-2,-5,-6,-6,-6,-2,-5,-7,-6,-4,-8
220,-8,-3,-9,-10,-6,-8,-8,-8,-7,-7,-9,-10,-8,-8,-12
221,-12,-7,-10,-13,-8,-10,-11,-9,-8,-12,-12,-11,-10,-10,-12
222,-12,-8,-13,-14,-9,-12,-10,-12,-9,-12,-11,-14,-10,-10,-15
223,-16,-13,-13,-17,-12,-12,-14,-15,-11,-15,-10,-18,-10,-13,-17
224,-18,-10,-14,-16,-13,-16,-15,-17,-13,-15,-12,-18,-13,-16,-21
225,-18,-12,-15,-17,-14,-18,-15,-18,-13,-15,-15,-19,-14,-15,-23
226,-20,-16,-20,-17,-15,-16,-16,-16,-15,-17,-15,-20,-12,-16,-21
227,-20,-15,-19,-14,-15,-20,-18,-17,-14,-18,-16,-17,-15,-19,-19
228,-17,-17,-17,-14,-17,-19,-15,-14,-16,-17,-15,-16,-14,-19,-19
229,-16,-15,-15,-11,-18,-16,-14,-10,-13,-12,-11,-16,-13,-15,-15
230,-13,-14,-12,-10,-12,-15,-11,-8,-12,-12,-10,-12,-9,-15,-13
231,-13,-14,-13,-7,-11,-12,-10,-8,-11,-13,-9,-10,-10,-13,-10
232,-8,-13,-7,-5,-12,-12,-4,-7,-9,-9,-9,-4,-8,-13,-5
233,-1,-6,-1,0,-11,-5,-3,-1,-5,-4,-6,-1,-3,-8,2
234,2,-3,0,3,-4,0,1,3,-2,1,-1,2,3,1,5
235,3,-2,2,4,0,4,2,6,0,4,1,5,3,5,5
236,5,-1,6,5,1,7,3,8,2,5,2,3,4,4,8
237,9,1,9,6,-1,6,8,9,4,5,6,5,7,6,15
238,13,7,11,11,4,8,10,11,8,9,7,8,8,9,19
239,11,10,13,10,8,10,12,13,12,14,12,13,10,10,16
240,14,13,12,15,12,12,11,12,13,14,13,13,10,12,19
241,15,13,16,16,11,12,14,14,14,14,13,14,9,13,20
242,16,18,16,17,13,14,17,17,13,15,13,18,12,13,22
243,20,19,18,17,14,18,17,14,18,18,15,20,14,15,22
244,18,20,21,16,14,18,18,15,21,19,18,20,13,17,19
245,17,20,20,18,15,19,16,15,20,19,19,19,16,18,19
246,17,18,19,18,18,19,15,15,18,20,18,19,17,17,18
247,16,20,18,14,18,18,13,15,17,17,19,21,16,17,18
248,13,19,16,11,19,15,12,14,20,19,19,16,16,18,15
249,12,18,13,9,18,14,11,12,15,16,13,13,12,14,11
250,10,15,10,8,14,10,7,9,9,14,10,10,9,13,6
251,6,13,7,7,12,7,4,8,11,12,9,7,10,10,4
252,3,11,2,3,10,6,3,4,6,7,5,5,7,8,0
253,0,6,-2,-4,9,3,0,1,5,3,3,-1,3,5,-3
254,-1,3,-3,-4,4,-2,-2,-3,4,-1,1,-7,-2,1,-7
255,-5,-1,-5,-7,-1,-4,-2,-5,1,-4,0,-8,0,-5,-6
256,-7,-3,-7,-7,-5,-6,-6,-5,1,-6,-5,-10,-5,-5,-7
257,-11,-4,-11,-11,-5,-7,-9,-9,-3,-7,-7,-13,-5,-5,-13
258,-13,-8,-13,-13,-7,-11,-11,-13,-7,-10,-10,-15,-11,-11,-15
259,-14,-13,-15,-11,-12,-16,-10,-15,-8,-14,-12,-17,-15,-14,-16
260,-14,-13,-15,-13,-12,-14,-10,-11,-10,-14,-13,-16,-14,-15,-12
261,-15,-14,-15,-13,-11,-13,-16,-12,-10,-16,-13,-17,-13,-14,-14
262,-19,-14,-14,-15,-12,-14,-15,-14,-13,-16,-15,-19,-14,-16,-16
263,-16,-14,-14,-11,-15,-16,-14,-15,-15,-19,-14,-16,-15,-18,-15
264,-13,-12,-13,-11,-17,-15,-12,-12,-15,-19,-13,-15,-13,-17,-13
265,-13,-12,-13,-9,-13,-11,-12,-10,-13,-13,-11,-10,-10,-13,-9
266,-15,-11,-12,-10,-12,-11,-13,-10,-15,-11,-10,-11,-8,-11,-10
267,-11,-11,-10,-9,-9,-10,-13,-9,-16,-11,-7,-10,-8,-12,-9
268,-10,-11,-10,-7,-8,-9,-7,-5,-15,-9,-9,-6,-7,-10,-8
269,-7,-8,-6,-3,-7,-6,-5,-4,-14,-3,-7,-4,-2,-8,-5
270,-3,-6,-2,-5,-8,-3,-2,-1,-8,-1,-7,0,-3,-4,-2
271,1,-4,-1,0,-1,-3,0,2,-7,0,-2,2,-1,-2,-1
272,4,1,3,5,1,1,0,3,-4,3,1,3,4,1,4
273,10,4,8,7,2,3,4,8,-1,6,4,6,5,5,11
274,12,5,13,10,5,7,7,13,5,12,6,10,6,6,12
275,15,9,14,12,11,11,10,12,8,14,9,14,9,10,14
276,15,13,15,13,12,14,11,10,12,16,14,14,11,14,15
277,15,15,17,15,14,16,13,12,15,17,14,13,11,14,17
278,16,15,17,14,14,16,15,17,17,18,16,18,11,14,17
279,18,15,20,16,12,18,13,18,18,18,17,19,14,16,20
280,14,16,18,14,17,16,11,13,19,16,17,14,11,20,18
281,13,15,15,11,17,11,8,14,19,15,15,12,9,18,16
282,9,10,13,10,15,11,7,10,18,13,13,14,8,14,12
283,9,9,8,9,11,11,6,10,16,13,9,10,8,13,11
284,6,9,8,3,12,6,1,5,18,6,10,4,5,13,6
285,0,7,1,-1,11,3,-2,0,13,3,7,2,4,8,1
286,-2,2,-2,-5,7,-1,-4,-5,6,0,3,-3,-2,3,-2
287,-5,-3,-8,-6,1,-6,-4,-8,3,-5,-1,-7,-5,-3,-4
288,-8,-4,-7,-5,-2,-8,-7,-7,0,-6,-5,-9,-5,-6,-8
289,-11,-8,-10,-9,-6,-11,-8,-11,-3,-9,-8,-12,-8,-9,-14
290,-15,-9,-16,-12,-8,-11,-11,-15,-9,-14,-10,-17,-11,-10,-15
291,-18,-12,-19,-15,-13,-16,-12,-16,-14,-16,-13,-19,-14,-15,-16
292,-16,-15,-19,-16,-14,-16,-13,-17,-12,-18,-15,-20,-16,-17,-15
293,-17,-16,-19,-19,-18,-15,-13,-19,-15,-21,-17,-21,-16,-19,-16
294,-16,-16,-20,-19,-20,-18,-14,-19,-17,-20,-17,-21,-19,-22,-18
295,-16,-18,-22,-17,-18,-20,-14,-18,-20,-19,-19,-23,-19,-21,-16
296,-13,-18,-17,-17,-19,-20,-11,-17,-19,-17,-16,-21,-21,-22,-15
297,-14,-17,-17,-12,-20,-16,-11,-15,-19,-17,-16,-17,-18,-19,-11
298,-10,-15,-16,-10,-18,-11,-9,-12,-17,-14,-13,-13,-16,-16,-10
299,-7,-13,-10,-4,-16,-11,-5,-7,-13,-11,-10,-8,-10,-15,-6
300,-5,-10,-2,-1,-13,-9,-1,-1,-12,-8,-7,-4,-7,-8,-2
301,0,-4,3,5,-9,-5,6,3,-6,-3,0,1,-1,-3,8
302,5,1,8,10,-4,5,9,9,1,6,5,7,3,3,12
303,10,6,13,14,4,10,14,14,5,11,11,14,9,7,15
304,15,9,17,17,8,14,18,18,10,17,12,21,13,13,21
305,19,15,20,23,14,18,24,24,17,20,18,23,16,20,27
306,25,20,24,25,21,22,26,27,23,24,24,27,24,24,29
307,24,25,27,25,27,27,25,31,23,28,27,28,26,26,30
308,24,25,28,24,26,27,25,29,20,28,23,26,26,27,28
309,26,27,24,23,27,26,23,28,21,27,24,26,26,28,28
310,27,29,23,20,27,25,22,29,23,26,25,24,24,26,25
311,21,27,22,15,29,23,18,22,22,25,25,20,22,27,19
312,17,26,18,10,26,20,10,15,17,19,20,13,19,21,14
313,13,18,13,6,20,15,8,13,12,15,14,8,14,16,11
314,7,13,10,1,14,11,4,6,9,11,9,8,8,13,2
315,2,8,4,-2,8,4,0,1,7,7,6,3,6,7,-4
316,-2,4,-4,-9,6,-1,-9,-5,1,0,-1,-4,0,0,-10
317,-11,-4,-8,-14,0,-7,-13,-11,-6,-7,-7,-7,-7,-5,-17
318,-15,-10,-13,-19,-6,-12,-15,-18,-11,-13,-12,-13,-13,-12,-21
319,-20,-19,-17,-21,-12,-17,-20,-20,-13,-16,-15,-16,-18,-15,-24
320,-24,-21,-20,-24,-16,-21,-21,-23,-18,-22,-20,-20,-20,-23,-29
321,-27,-26,-23,-26,-21,-24,-23,-27,-20,-24,-21,-26,-25,-22,-30
322,-28,-29,-24,-25,-24,-26,-25,-27,-20,-27,-24,-28,-28,-26,-29
323,-28,-29,-23,-23,-26,-26,-25,-26,-23,-27,-23,-27,-24,-27,-29
324,-29,-28,-26,-23,-26,-28,-23,-24,-22,-26,-25,-26,-24,-28,-24
325,-26,-29,-27,-21,-24,-27,-22,-24,-23,-24,-22,-24,-24,-28,-23
326,-24,-25,-24,-16,-24,-22,-22,-19,-21,-25,-20,-19,-23,-26,-18
