,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
171,10,16,9,4,22,10,9,18,8,6,7,12,17,15,9,8,19,-2,7,20,2
172,5,16,10,5,21,8,9,16,10,8,9,12,18,16,10,10,16,-6,7,17,0
173,2,14,11,9,21,3,10,11,10,10,11,14,15,14,10,12,11,-9,9,11,0
174,2,14,12,8,17,1,10,10,11,8,11,14,10,11,9,11,7,-12,9,6,-3
175,-2,13,11,9,14,-1,11,9,12,10,10,15,4,9,12,11,2,-12,10,3,-6
176,-4,8,11,9,9,-5,8,4,12,11,8,13,2,4,11,9,-1,-16,9,-2,-8
177,-4,7,8,8,4,-6,7,-1,10,9,8,12,-2,-1,9,8,-4,-14,8,-7,-7
178,-4,4,7,7,-2,-7,8,-5,6,8,8,9,-6,-6,6,7,-7,-13,9,-12,-5
179,-4,-1,4,6,-6,-8,5,-8,8,7,6,8,-8,-9,6,6,-13,-14,8,-16,-6
180,-2,-7,4,5,-11,-9,2,-14,3,8,6,5,-11,-9,4,3,-16,-13,7,-19,-5
181,-3,-10,4,2,-15,-8,0,-15,2,2,1,1,-11,-12,1,-1,-18,-9,6,-20,-2
182,-1,-15,-2,0,-14,-7,-3,-18,0,0,0,-2,-13,-17,0,-1,-15,-8,4,-19,-2
183,-3,-15,-5,-1,-16,-5,-6,-19,-3,0,-4,-4,-13,-17,-2,-5,-16,-6,0,-17,-1
184,-2,-16,-5,-4,-17,-1,-8,-23,-2,-3,-6,-6,-12,-20,-6,-6,-16,-3,-4,-16,1
185,-2,-18,-7,-6,-18,-2,-8,-23,-7,-6,-7,-8,-13,-21,-8,-10,-16,-3,-3,-13,2
186,-1,-17,-6,-6,-15,0,-9,-20,-7,-7,-9,-12,-12,-17,-10,-12,-10,-2,-5,-11,4
187,1,-17,-7,-7,-15,2,-10,-20,-7,-6,-10,-12,-9,-17,-12,-10,-7,-2,-8,-8,4
188,2,-19,-8,-9,-10,5,-10,-17,-11,-9,-12,-13,-6,-15,-12,-8,-3,-2,-8,-3,4
189,3,-18,-7,-9,-8,4,-8,-12,-12,-9,-10,-12,-3,-14,-10,-11,1,-1,-11,-1,4
190,-1,-12,-8,-9,-2,4,-8,-13,-10,-10,-8,-11,2,-8,-9,-10,4,1,-9,4,4
191,-1,-9,-10,-7,2,6,-8,-9,-10,-9,-9,-12,2,-5,-9,-9,6,1,-9,5,2
192,-2,-8,-6,-6,7,3,-5,-3,-7,-9,-8,-10,5,-1,-6,-7,9,0,-8,9,1
193,-1,-3,-6,-6,13,1,-4,1,-8,-7,-6,-7,9,1,-5,-5,9,2,-6,11,2
194,-2,1,-6,-4,13,1,1,3,-4,-4,-3,-6,12,6,-3,-2,11,2,-5,11,-1
195,-4,2,-2,-2,16,3,1,6,-2,-3,-1,-3,13,9,-2,0,13,2,-4,13,0
196,-3,6,1,1,18,0,3,8,0,1,2,0,14,10,-1,3,13,3,-1,14,-2
197,-1,7,2,3,18,-1,5,9,3,0,6,3,13,13,2,4,11,4,4,12,-1
198,-1,11,6,5,14,0,9,10,2,2,5,4,12,11,4,7,12,6,7,13,-1
199,-2,11,10,7,12,-1,10,12,6,6,7,7,9,13,5,11,10,6,7,10,-2
200,-3,11,9,10,12,-4,10,13,8,8,10,10,8,11,8,9,9,9,9,7,-3
201,-1,15,8,11,9,-4,10,12,12,10,11,11,9,10,9,9,6,8,11,3,-3
202,0,11,12,10,4,-3,13,9,12,11,10,15,5,8,10,10,6,9,14,2,0
203,1,11,15,10,2,-2,12,6,14,8,10,13,5,6,10,11,4,11,12,-1,1
204,2,7,14,9,4,-4,10,6,13,12,12,14,2,4,11,10,-1,12,13,-2,2
205,1,4,12,10,3,-2,8,6,13,10,12,13,-1,-2,10,11,-1,11,12,-3,6
206,3,3,12,11,-2,2,10,2,12,8,10,12,-4,-1,9,9,-3,9,12,-4,2
207,3,-3,10,9,-2,3,7,0,11,8,9,13,-3,-3,7,6,-6,12,9,-6,2
208,1,-4,7,6,-4,2,2,-3,6,7,6,11,-5,-7,5,6,-9,11,7,-8,1
209,4,-5,4,5,-7,3,4,-5,5,5,5,7,-10,-6,4,3,-10,9,5,-7,-2
210,5,-8,1,4,-9,4,1,-7,2,3,0,6,-10,-9,3,1,-10,6,2,-10,0
211,4,-7,-3,1,-10,3,0,-9,1,1,1,2,-12,-10,2,-1,-7,3,1,-9,1
212,4,-7,-3,-2,-8,5,-4,-11,1,0,-1,-1,-13,-10,-2,-4,-8,1,-1,-9,1
213,4,-9,-5,-4,-8,3,-7,-11,-3,-2,-6,-2,-11,-10,-4,-9,-10,-4,-3,-11,-1
214,1,-9,-5,-6,-9,2,-9,-9,-5,-5,-6,-7,-11,-8,-7,-10,-11,-5,-9,-9,-1
215,0,-8,-10,-7,-8,0,-9,-9,-8,-5,-7,-6,-10,-7,-10,-9,-10,-7,-11,-8,-1
216,-1,-7,-13,-9,-8,-2,-10,-9,-9,-8,-9,-10,-8,-6,-11,-10,-9,-10,-11,-6,-4
217,-4,-5,-11,-11,-4,-5,-9,-6,-11,-10,-11,-12,-10,-2,-11,-12,-6,-13,-10,-5,-5
218,-4,-3,-11,-12,-7,-6,-10,-4,-10,-12,-9,-11,-8,-1,-10,-12,-5,-16,-11,-8,-7
219,-8,0,-12,-11,-5,-8,-9,0,-11,-11,-9,-12,-4,2,-10,-11,-5,-19,-13,-4,-10
220,-10,1,-13,-13,-6,-10,-8,3,-10,-12,-11,-13,-5,4,-9,-11,-3,-22,-11,-2,-12
221,-9,7,-10,-10,-2,-12,-8,7,-11,-9,-8,-15,0,6,-7,-11,-1,-23,-8,-1,-12
222,-10,6,-8,-9,1,-11,-8,10,-12,-7,-6,-13,0,7,-7,-7,1,-20,-5,2,-13
223,-11,7,-9,-7,0,-12,-3,11,-9,-9,-4,-8,2,11,-6,-7,3,-19,-5,6,-12
224,-7,9,-5,-6,2,-11,-3,13,-6,-6,-2,-6,4,13,-5,-4,4,-19,-2,9,-11
225,-9,12,0,-3,3,-9,0,15,-3,-4,-1,-2,4,14,-2,0,3,-16,1,12,-9
226,-9,17,1,2,5,-7,4,13,-1,0,-1,-1,5,13,1,1,5,-11,1,11,-6
227,-5,16,3,2,2,-3,4,14,1,1,4,2,8,12,2,4,6,-6,6,11,-4
228,-4,13,5,5,7,-2,8,16,4,4,7,4,8,11,2,8,7,-2,7,11,-1
229,-1,11,8,8,10,0,10,14,6,6,9,7,8,10,5,9,8,4,10,9,4
230,1,13,12,10,6,4,14,11,10,9,9,10,7,10,8,12,6,8,12,9,7
231,7,8,13,13,7,10,16,10,11,12,11,15,9,9,8,13,6,12,14,8,7
232,8,8,13,11,11,12,14,9,11,15,12,15,8,8,10,14,5,16,17,6,12
233,11,4,14,14,9,13,13,7,12,14,14,19,5,5,10,16,4,17,18,6,14
234,12,2,15,15,8,14,13,5,14,16,14,18,1,1,11,15,2,20,14,4,15
235,17,1,14,15,6,17,13,2,16,15,16,18,2,-2,12,15,1,21,15,2,16
236,19,0,14,13,4,18,11,-3,15,14,14,17,0,-2,10,15,2,23,17,2,17
237,17,-6,13,13,2,17,16,-4,13,16,13,16,1,-4,11,15,1,23,12,0,14
238,18,-5,13,13,2,15,11,-6,11,14,12,16,0,-6,10,12,-1,22,9,-2,12
239,16,-6,11,11,-2,14,7,-4,10,10,11,14,0,-10,9,11,-3,18,8,-5,10
240,13,-5,9,8,-1,12,5,-5,9,11,9,8,-4,-12,7,8,-3,16,6,-5,7
241,12,-4,5,4,-3,12,5,-6,8,6,4,5,-5,-9,6,4,-4,11,3,-7,4
242,11,-4,3,3,-5,8,1,-4,3,4,2,4,-5,-8,3,0,-2,7,1,-4,2
243,6,-7,0,2,-5,4,-5,-6,-1,1,2,-2,-5,-7,3,-4,-4,2,-4,-5,-2
