,0,1,2,3,4,5,6,7,8
303,-68,-65,-66,-67,-64,-58,-71,-70,-53
304,-68,-69,-72,-72,-71,-68,-70,-67,-66
305,-72,-73,-71,-70,-72,-67,-64,-59,-70
306,-67,-68,-64,-70,-70,-66,-62,-49,-75
307,-61,-61,-58,-62,-64,-57,-50,-42,-73
308,-49,-54,-49,-50,-53,-50,-40,-25,-68
309,-35,-44,-35,-40,-39,-43,-28,-8,-58
310,-24,-28,-19,-27,-24,-26,-10,7,-46
311,-2,-12,-2,-9,-8,-10,4,22,-35
312,12,4,11,12,10,8,20,36,-18
313,26,21,29,24,22,25,31,49,0
314,39,35,41,36,36,35,47,61,14
315,48,46,54,48,50,49,59,68,28
316,63,59,64,58,59,60,66,72,42
317,67,65,71,69,69,71,72,67,57
318,70,75,74,72,71,71,72,68,70
319,69,70,72,72,73,67,70,62,73
320,66,71,70,68,72,67,67,49,72
321,60,65,59,62,64,63,54,36,71
322,46,53,48,54,55,54,43,21,68
323,33,39,32,38,39,39,27,8,61
324,20,23,16,24,25,23,15,-6,46
325,4,14,6,13,11,12,-1,-21,33
326,-7,-3,-13,-3,-6,-6,-18,-32,16
327,-26,-17,-25,-17,-19,-18,-32,-46,6
328,-39,-29,-38,-33,-38,-31,-43,-53,-12
329,-47,-43,-45,-39,-43,-43,-50,-56,-27
330,-55,-47,-50,-47,-51,-50,-56,-59,-38
331,-58,-55,-61,-55,-59,-56,-59,-58,-48
332,-63,-59,-60,-58,-61,-60,-59,-55,-55
333,-59,-59,-59,-61,-61,-63,-59,-46,-59
334,-53,-55,-51,-53,-52,-57,-50,-38,-62
335,-47,-47,-43,-50,-49,-49,-44,-27,-57
336,-39,-39,-37,-40,-39,-41,-35,-13,-54
337,-30,-30,-26,-31,-28,-31,-20,-4,-44
338,-15,-20,-14,-23,-18,-21,-12,9,-35
339,-5,-10,-4,-9,-5,-10,2,19,-25
340,8,5,11,1,4,-1,14,28,-14
341,20,14,20,14,17,12,24,38,-3
342,28,24,30,26,26,25,34,43,9
343,38,34,38,32,33,32,42,47,19
344,42,37,42,40,44,41,46,46,31
345,47,44,50,44,47,45,47,47,39
346,50,47,52,44,52,48,47,48,45
347,47,48,52,47,52,49,50,42,49
348,47,46,48,49,48,43,44,34,50
349,37,42,45,46,45,45,41,23,48
350,34,38,37,36,36,38,33,18,47
351,28,30,28,33,29,30,27,13,41
352,19,25,23,25,22,24,18,3,37
353,10,16,12,15,12,15,5,-6,25
354,0,6,1,8,2,5,-4,-18,20
355,-7,-4,-8,-4,-10,-8,-12,-25,9
356,-17,-14,-18,-13,-18,-14,-22,-32,-1
357,-24,-19,-25,-24,-24,-22,-29,-38,-6
358,-31,-29,-36,-31,-32,-31,-37,-42,-20
359,-40,-39,-42,-36,-34,-37,-41,-46,-23
360,-43,-40,-49,-44,-41,-42,-47,-47,-34
361,-45,-46,-49,-47,-44,-45,-46,-47,-40
362,-45,-46,-47,-48,-46,-45,-44,-43,-43
363,-45,-46,-46,-46,-47,-47,-48,-39,-49
364,-44,-45,-45,-43,-43,-44,-40,-35,-48
365,-38,-41,-40,-41,-40,-42,-36,-25,-47
366,-33,-36,-32,-34,-33,-33,-26,-14,-43
367,-27,-24,-22,-28,-27,-25,-17,-7,-38
368,-14,-14,-15,-16,-17,-18,-8,8,-34
369,-5,-10,-1,-8,-5,-8,3,20,-21
370,8,5,11,3,4,4,13,30,-15
371,19,17,21,16,20,17,24,36,0
372,30,28,33,24,27,26,33,46,10
373,38,33,40,34,37,37,42,53,20
374,47,46,50,43,45,47,48,54,31
375,53,52,52,51,52,52,53,54,37
376,54,51,55,54,56,55,55,52,48
377,52,53,52,48,54,53,51,46,55
378,49,49,48,49,52,50,48,39,54
379,44,46,44,47,48,46,42,30,53
380,37,40,36,40,38,37,28,17,48
381,27,27,28,33,30,28,20,5,46
382,16,18,15,18,14,15,5,-9,35
383,2,3,0,9,2,0,-9,-23,24
384,-13,-10,-12,-5,-10,-11,-20,-41,15
385,-27,-23,-27,-22,-24,-26,-36,-45,-2
386,-40,-34,-37,-33,-34,-38,-44,-53,-17
387,-51,-42,-48,-45,-46,-51,-54,-59,-28
388,-58,-54,-56,-53,-54,-55,-60,-67,-39
389,-63,-58,-62,-61,-64,-59,-61,-63,-49
390,-65,-62,-63,-64,-65,-62,-61,-56,-58
391,-61,-60,-60,-60,-59,-59,-53,-53,-58
392,-55,-53,-53,-56,-55,-55,-46,-40,-63
393,-47,-49,-48,-48,-47,-47,-37,-28,-58
394,-37,-37,-36,-40,-37,-36,-26,-13,-50
395,-24,-26,-24,-26,-24,-25,-13,3,-40
396,-11,-11,-6,-12,-11,-9,3,21,-30
397,8,5,8,4,4,4,17,35,-16
398,22,17,22,21,24,21,33,43,0
399,34,33,38,33,36,37,43,55,13
400,45,44,45,46,46,47,55,63,27
401,58,55,57,57,59,58,64,68,39
402,67,61,65,67,64,64,65,65,51
403,68,64,68,69,66,68,66,59,57
